,IP,H,R,BB,SO,BF,RA9,WHIP,K/9
Cam Schlittler,15.2,16.3,9.3,10.2,11.2,72.3,5.51,1.74,6.63
George Kirby,14.2,14.9,8.3,9.1,9.6,66.6,5.26,1.69,6.08
Ranger Suárez,14.1,13.8,8.4,11.4,10.8,67.7,5.36,1.79,6.89
Aaron Nola,14.0,13.5,7.8,10.8,10.4,66.2,5.01,1.74,6.69
Max Fried,13.8,13.6,8.1,11.1,10.2,66.0,5.28,1.79,6.65
Bryce Miller,13.5,14.1,8.3,8.3,8.8,62.9,5.53,1.66,5.87
Shota Imanaga,13.5,13.5,7.4,8.2,8.8,62.3,4.93,1.61,5.87
Taijuan Walker,13.5,13.8,8.7,11.6,9.8,65.8,5.8,1.88,6.53
Bryan Woo,13.3,13.0,7.2,7.1,8.9,60.0,4.87,1.51,6.02
Logan Gilbert,12.9,12.6,7.1,8.0,9.2,59.3,4.95,1.6,6.42
Carlos Rodón,12.9,12.4,7.6,10.6,9.3,61.6,5.3,1.78,6.49
Tyler Glasnow,12.5,11.5,6.2,8.9,11.0,57.8,4.46,1.63,7.92
Casey Mize,12.3,12.5,6.9,7.9,8.9,57.1,5.05,1.66,6.51
Freddy Peralta,11.9,12.0,7.4,9.6,8.6,57.5,5.6,1.82,6.5
Jack Flaherty,11.7,12.0,7.5,9.8,9.4,56.9,5.77,1.86,7.23
Jameson Taillon,11.6,11.8,6.8,8.3,7.8,54.8,5.28,1.73,6.05
Shohei Ohtani,11.4,11.3,6.7,7.9,9.2,53.4,5.29,1.68,7.26
Tarik Skubal,11.0,10.6,5.4,6.1,8.3,49.8,4.42,1.52,6.79
Matthew Boyd,11.0,10.7,6.4,8.1,7.5,51.8,5.24,1.71,6.14
Jose Quintana,10.9,11.4,7.9,11.1,7.2,55.2,6.52,2.06,5.94
Kevin Gausman,10.7,11.0,6.4,7.0,6.9,50.2,5.38,1.68,5.8
Garrett Crochet,10.6,10.5,6.3,7.6,7.7,49.8,5.35,1.71,6.54
Max Scherzer,10.3,10.9,6.4,7.1,7.5,48.8,5.59,1.75,6.55
Shane Bieber,10.3,10.7,6.4,8.0,7.7,49.6,5.59,1.82,6.73
Tanner Bibee,10.3,10.3,6.1,7.4,7.5,48.6,5.33,1.72,6.55
Zack Littell,10.2,11.1,6.6,6.5,7.0,48.3,5.82,1.73,6.18
Luis Castillo,9.9,9.7,5.5,6.6,6.1,46.0,5.0,1.65,5.55
Slade Cecconi,9.7,9.8,5.8,5.8,7.2,44.6,5.38,1.61,6.68
Kyle Harrison,9.6,9.5,6.0,7.7,6.6,45.9,5.62,1.79,6.19
Michael King,9.4,9.5,5.5,7.7,7.3,45.4,5.27,1.83,6.99
Blake Snell,9.0,9.1,6.1,9.5,7.6,45.6,6.1,2.07,7.6
Andrew Abbott,8.8,9.1,5.8,6.8,6.2,42.3,5.93,1.81,6.34
Dylan Cease,8.8,8.6,5.5,7.4,7.0,42.4,5.62,1.82,7.16
Gavin Williams,8.6,8.8,5.2,6.1,6.2,40.7,5.44,1.73,6.49
Nick Pivetta,8.5,8.1,4.8,5.6,6.2,39.3,5.08,1.61,6.56
Brayan Bello,7.5,7.7,4.8,6.2,5.3,36.3,5.76,1.85,6.36
Yoshinobu Yamamoto,7.4,7.2,4.0,5.3,5.7,34.8,4.86,1.69,6.93
Hunter Greene,7.4,7.7,5.4,5.5,5.5,35.3,6.57,1.78,6.69
Jhoan Duran,5.8,5.5,3.5,3.7,4.2,26.7,5.43,1.59,6.52
Trevor Megill,5.8,5.8,3.4,3.6,4.9,26.7,5.28,1.62,7.6
Jared Koenig,5.7,5.4,3.8,4.1,4.5,26.6,6.0,1.67,7.11
Cristopher Sánchez,5.6,5.5,3.4,4.2,4.2,26.4,5.46,1.73,6.75
Jacob Misiorowski,5.6,5.7,3.8,3.2,4.2,25.7,6.11,1.59,6.75
Matt Strahm,5.6,5.6,3.6,3.0,4.4,25.6,5.79,1.54,7.07
Tobias Myers,5.5,5.5,3.6,3.6,3.5,25.7,5.89,1.65,5.73
Tanner Banks,5.5,5.5,3.4,3.8,3.8,25.9,5.56,1.69,6.22
Abner Uribe,5.5,5.0,3.2,4.6,4.3,26.1,5.24,1.75,7.04
Grant Anderson,5.5,5.2,3.2,4.3,4.4,26.1,5.24,1.73,7.2
Walker Buehler,5.4,5.6,3.7,4.1,3.7,26.1,6.17,1.8,6.17
David Robertson,5.4,4.6,3.2,4.8,4.9,25.5,5.33,1.74,8.17
Orion Kerkering,5.4,5.4,3.2,3.6,4.8,25.3,5.33,1.67,8.0
Randy Vásquez,5.2,5.4,3.1,3.7,3.5,24.7,5.37,1.75,6.06
Chad Patrick,5.2,6.1,3.9,3.6,3.4,25.3,6.75,1.87,5.88
Quinn Priester,5.2,5.3,3.2,4.6,3.8,25.6,5.54,1.9,6.58
Jesús Luzardo,5.1,5.4,3.7,4.3,3.7,24.9,6.53,1.9,6.53
Aaron Ashby,5.1,4.8,2.9,4.2,4.8,24.5,5.12,1.76,8.47
Tim Mayza,5.1,5.2,3.1,4.2,4.2,24.7,5.47,1.84,7.41
Tim Hill,4.6,4.6,2.6,2.4,2.8,20.7,5.09,1.52,5.48
Yu Darvish,4.5,4.7,2.8,3.3,3.4,21.5,5.6,1.78,6.8
David Bednar,4.5,4.2,2.6,2.7,3.5,20.4,5.2,1.53,7.0
Luke Weaver,4.3,4.2,2.9,3.3,3.0,20.5,6.07,1.74,6.28
Camilo Doval,4.2,3.9,2.5,3.3,3.3,19.8,5.36,1.71,7.07
Fernando Cruz,4.1,4.3,2.8,3.5,3.6,20.1,6.15,1.9,7.9
Paul Blackburn,4.0,3.8,2.7,3.1,2.8,18.8,6.08,1.72,6.3
Will Warren,3.9,4.2,3.0,3.2,2.9,19.2,6.92,1.9,6.69
Mark Leiter Jr.,3.9,3.8,2.5,3.4,3.7,19.0,5.77,1.85,8.54
Devin Williams,3.9,3.7,2.5,3.6,3.2,18.9,5.77,1.87,7.38
Andrew Kittredge,3.7,3.4,2.0,2.1,2.9,16.8,4.86,1.49,7.05
Ben Casparius,3.7,3.5,2.3,2.8,2.7,17.2,5.59,1.7,6.57
Louis Varland,3.6,3.8,2.6,2.4,2.6,16.8,6.5,1.72,6.5
Anthony Banda,3.6,3.6,2.5,2.7,2.7,17.3,6.25,1.75,6.75
Emmet Sheehan,3.5,3.4,2.5,2.5,2.4,16.5,6.43,1.69,6.17
Jeremiah Estrada,3.5,3.2,2.3,2.2,2.7,15.9,5.91,1.54,6.94
Daniel Palencia,3.5,3.6,2.5,2.4,2.7,16.5,6.43,1.71,6.94
Clayton Kershaw,3.5,3.2,2.1,2.7,2.8,16.6,5.4,1.69,7.2
Caleb Thielbar,3.5,2.9,2.0,2.2,2.5,15.8,5.14,1.46,6.43
Eric Lauer,3.5,3.4,2.7,2.6,2.5,16.5,6.94,1.71,6.43
Caleb Ferguson,3.5,3.7,2.1,2.1,2.6,16.3,5.4,1.66,6.69
Yariel Rodríguez,3.4,3.2,2.6,3.2,2.4,16.7,6.88,1.88,6.35
Justin Wrobleski,3.4,3.5,2.2,1.9,2.5,15.6,5.82,1.59,6.62
Mason Fluharty,3.4,3.3,2.5,3.0,2.8,16.6,6.62,1.85,7.41
Jeff Hoffman,3.4,3.6,2.3,2.3,2.9,16.1,6.09,1.74,7.68
Seranthony Domínguez,3.4,3.5,2.3,2.9,2.7,16.7,6.09,1.88,7.15
Robert Suarez,3.3,3.6,2.4,1.9,1.9,15.2,6.55,1.67,5.18
Gabe Speier,3.3,2.8,1.7,2.0,2.7,14.8,4.64,1.45,7.36
Jack Dreyer,3.3,3.4,2.3,2.5,2.5,16.0,6.27,1.79,6.82
Colin Rea,3.3,3.1,2.2,2.7,2.1,15.6,6.0,1.76,5.73
Adrian Morejon,3.3,2.9,1.9,2.1,2.6,14.8,5.18,1.52,7.09
Braydon Fisher,3.3,3.1,2.4,2.6,2.9,15.7,6.55,1.73,7.91
Matt Brash,3.3,3.0,2.6,2.9,2.8,15.9,7.09,1.79,7.64
Kyle Finnegan,3.2,3.1,2.1,2.0,2.6,14.7,5.91,1.59,7.31
Alex Vesia,3.2,3.4,2.6,2.4,2.4,15.4,7.31,1.81,6.75
Brant Hurter,3.2,3.2,1.9,2.1,2.4,14.8,5.34,1.66,6.75
Taylor Rogers,3.2,2.9,1.8,2.3,2.8,14.7,5.06,1.62,7.87
Emerson Hancock,3.2,3.4,2.3,2.2,2.0,15.3,6.47,1.75,5.62
Eduard Bazardo,3.1,2.8,1.8,2.1,2.6,14.3,5.23,1.58,7.55
Luke Jackson,3.1,3.0,1.8,2.4,2.3,14.7,5.23,1.74,6.68
Aaron Civale,3.1,3.3,1.9,2.4,2.3,14.9,5.52,1.84,6.68
Michael Soroka,3.1,3.1,2.2,2.6,2.1,15.0,6.39,1.84,6.1
Andrés Muñoz,3.1,3.0,2.0,2.5,2.8,14.7,5.81,1.77,8.13
Mason Miller,3.1,2.8,1.9,2.2,2.7,14.4,5.52,1.61,7.84
Brendon Little,3.1,2.8,1.8,3.7,3.1,15.8,5.23,2.1,9.0
Chris Bassitt,3.1,3.4,2.4,3.0,2.3,15.5,6.97,2.06,6.68
Paul Sewald,3.1,3.2,2.2,2.2,2.3,14.8,6.39,1.74,6.68
Brad Keller,3.1,3.0,2.2,3.5,2.4,15.7,6.39,2.1,6.97
Tommy Kahnle,3.0,2.6,2.0,2.8,2.3,14.3,6.0,1.8,6.9
Carlos Vargas,3.0,3.3,2.1,2.0,2.2,14.4,6.3,1.77,6.6
Keider Montero,3.0,3.0,2.1,2.0,2.2,13.9,6.3,1.67,6.6
Will Vest,2.9,2.9,1.7,2.2,2.1,13.9,5.28,1.76,6.52
Wandy Peralta,2.9,2.8,1.8,3.0,1.8,14.6,5.59,2.0,5.59
Rafael Montero,2.9,2.8,2.0,2.8,2.1,14.4,6.21,1.93,6.52
Tyler Holton,2.9,3.1,1.9,2.3,2.1,14.0,5.9,1.86,6.52
Justin Wilson,2.8,3.0,1.6,1.7,2.0,13.2,5.14,1.68,6.43
Cade Smith,2.7,2.7,1.7,1.5,2.1,12.2,5.67,1.56,7.0
Steven Matz,2.7,2.8,2.1,2.0,1.8,12.9,7.0,1.78,6.0
Justin Slaten,2.7,2.7,1.6,1.8,2.0,12.7,5.33,1.67,6.67
Garrett Whitlock,2.7,2.5,1.7,2.0,2.0,12.7,5.67,1.67,6.67
Greg Weissert,2.7,3.0,1.9,2.0,2.1,13.1,6.33,1.85,7.0
Aroldis Chapman,2.7,2.7,1.9,1.9,2.3,12.7,6.33,1.7,7.67
Kolby Allard,2.6,2.7,1.7,1.6,2.0,12.1,5.88,1.65,6.92
Tim Herrin,2.6,2.6,1.9,2.2,2.1,12.7,6.58,1.85,7.27
Zack Kelly,2.6,2.6,1.7,2.0,1.7,12.6,5.88,1.77,5.88
Emilio Pagán,2.5,2.5,1.5,1.6,1.6,11.5,5.4,1.64,5.76
Jakob Junis,2.5,2.4,1.6,1.9,2.0,11.8,5.76,1.72,7.2
Graham Ashcraft,2.5,2.6,1.9,1.8,1.9,11.8,6.84,1.76,6.84
Brent Suter,2.5,2.5,1.9,1.9,1.6,11.9,6.84,1.76,5.76
Nick Lodolo,2.4,2.6,1.6,2.0,1.8,11.9,6.0,1.92,6.75
Matt Festa,2.4,2.7,1.9,1.6,1.8,11.6,7.12,1.79,6.75
Hunter Gaddis,2.4,2.6,1.6,1.6,1.7,11.4,6.0,1.75,6.38
Joey Cantillo,2.4,2.3,1.5,1.9,1.8,11.3,5.62,1.75,6.75
Nick Martinez,2.4,2.5,1.8,2.1,1.9,11.7,6.75,1.92,7.12
Tony Santillan,2.3,2.9,2.2,1.7,1.8,11.5,8.61,2.0,7.04
Scott Barlow,2.3,1.9,1.5,2.1,2.1,10.8,5.87,1.74,8.22
